API_NUMBER,qi,di,b,sqrt_error,skipped_days,TimeStamp
5123377720000,1627.53137,0.48728,1.39106,174.9305345,18,2/11/2019 22:49
5123309940000,425.40189,0.00808,0.9565,15.3144542,38,2/11/2019 22:49
5123310330000,172.37029,0.01516,1.19319,7.141702708,0,2/11/2019 22:49
5123313510000,600,0.0266,1.04442,23.28526971,0,2/11/2019 22:50
5123341420000,577.42881,0.02243,1.1163,13.32316059,0,2/11/2019 22:50
5123342310000,638.82085,0.05657,1.01091,14.32659546,0,2/11/2019 22:51
5123342370000,104.03812,0.00234,0.4288,19.35288949,0,2/11/2019 22:51
5123342840000,50.83898,0.1036,2,2.961139828,33,2/11/2019 22:51
5123342850000,481.80367,0.00644,0.97888,19.63744463,0,2/11/2019 22:51
5123347040000,79.04153,0.00907,1.19256,3.258008416,0,2/11/2019 22:51
5123347510000,475.34553,0.0163,0.79032,19.08213157,0,2/11/2019 22:51
5123347810000,321.65787,0.00506,0.73304,10.16243308,21,2/11/2019 22:52
5123348020000,130.73746,0.03597,1.09655,4.687176972,2,2/11/2019 22:52
5123333210000,626.10131,0.07973,1.37726,15.27916403,0,2/11/2019 22:52
5123333650000,414.81464,0.00754,0.47335,20.61260235,0,2/11/2019 22:53
5123333860000,418.92369,0.01738,1.0326,11.085434,25,2/11/2019 22:53
5123335450000,492.99446,0.05767,1.47456,17.04151889,0,2/11/2019 22:53
5123336750000,366.1464,0.01223,1.07676,15.04064502,30,2/11/2019 22:54
5123337030000,335.56887,0.00843,0.71096,14.45086838,0,2/11/2019 22:54
5123339250000,157.95836,0.0304,1.15509,4.743623975,19,2/11/2019 22:54
5123349170000,467.87295,0.0112,1.14317,12.23683565,0,2/11/2019 22:54
5123351150000,215.28971,0.01168,1.18086,5.421700868,0,2/11/2019 22:54
5123351180000,194.13115,0.01294,1.00562,14.02896138,0,2/11/2019 22:54
5123352420000,282.87651,0.39305,2,9.008259959,0,2/11/2019 22:55
5123352850000,299.07758,0.02031,1.55136,9.145806994,17,2/11/2019 22:55
5123353380000,162.64439,0.00714,0.001,9.207858314,17,2/11/2019 22:55
5123353590000,416.1728,0.05411,1.39932,12.36992404,0,2/11/2019 22:55
5123354430000,269.90893,0.00698,0.87198,10.33110472,0,2/11/2019 22:55
5123354650000,337.57484,0.02001,1.0869,56.82966261,0,2/11/2019 22:55
5123354720100,118.30313,0.02653,1.26362,3.69896613,0,2/11/2019 22:55
5123355580000,265.38196,0.00382,0.43792,17.07917542,23,2/11/2019 22:56
5123356150000,554.43763,0.00887,0.79287,33.44599832,0,2/11/2019 22:56
5123356380000,326.59486,0.00733,0.7693,36.12020505,0,2/11/2019 22:56
5123357220000,402.51509,0.04895,1.08706,10.64388755,0,2/11/2019 22:57
5123383670000,497.95677,0.02989,1.43814,10.92006422,29,2/11/2019 22:57
5123384070000,407.10796,0.00872,0.84671,12.69243383,21,2/11/2019 22:57
5123385490000,493.75576,0.00478,0.55959,23.12874852,31,2/11/2019 22:57
5123385680000,731.26007,0.0233,0.81372,16.57956195,62,2/11/2019 22:58
5123386090000,501.59342,0.00379,0.37864,15.75838872,47,2/11/2019 22:58
5123386460000,766.87724,0.05,1.02759,23.73950677,0,2/11/2019 22:58
5123386570000,290,0.01414,1.00856,13.92971402,0,2/11/2019 23:00
5123386790000,658.91573,0.00435,0.53903,17.01193283,44,2/11/2019 23:00
5123386800000,521.31583,0.0019,0.0777,11.84538204,14,2/11/2019 23:01
5123387840000,282.5648,0.00543,0.64034,8.553082527,16,2/11/2019 23:01
5123388810000,363.25717,0.01206,0.95553,19.43529807,20,2/11/2019 23:01
5123388840000,615.56397,0.07537,1.14949,14.70832966,20,2/11/2019 23:01
5123389120000,410.61258,0.00895,0.62053,12.17095061,0,2/11/2019 23:01
5123390460000,494.52718,0.00585,0.83139,15.28279723,57,2/11/2019 23:02
5123390470000,519.23093,0.00598,0.57381,17.97257576,30,2/11/2019 23:02
5123390670000,273.11711,0.01301,1.09963,6.617306363,0,2/11/2019 23:02
5123391220000,258.22373,0.01402,1.56468,12.11549,60,2/11/2019 23:02
5123391560000,424.38245,0.00826,0.6466,12.40512199,68,2/11/2019 23:03
5123391710000,656.19981,0.00304,0.28862,16.42029722,62,2/11/2019 23:03
